grid_name,upc,product_name,alpha,dynamic_schedule_id,myopic_schedule_id,dynamic_value,myopic_value,value_of_dynamic_optimization,dynamic_promotion_count,myopic_promotion_count
supported,1600066610,1600066610,2.24,0,0,319.8865966796869,319.8865966796869,0.0,0,0
supported,1600066590,1600066590,2.24,0,0,270.52459716796875,270.52459716796875,0.0,0,0
supported,3800000120,3800000120,2.24,3162,3168,342.6704034736633,341.8629522715252,0.8074512021381111,4,4
supported,3800001520,3800001520,2.24,0,0,221.67314147949202,221.67314147949202,0.0,0,0
supported,3800000127,3800000127,2.24,2820,3168,172.4082674142201,170.3140522337596,2.0942151804604805,4,4
supported,1600066510,1600066510,2.24,2928,3168,370.57619206339484,367.4734902038573,3.1027018595375466,4,4
supported,3800001611,3800001611,2.24,0,0,224.91093444824176,224.91093444824176,0.0,0,0
supported,3800000110,3800000110,2.24,772,892,124.29524044977828,123.71684600270589,0.5783944470723839,4,4
unrestricted,1600066610,1600066610,2.24,0,0,319.8865966796869,319.8865966796869,0.0,0,0
unrestricted,1600066590,1600066590,2.24,0,0,270.52459716796875,270.52459716796875,0.0,0,0
unrestricted,3800000120,3800000120,2.24,3162,3168,218.84057777846655,218.40191267251961,0.43866510594693864,4,4
unrestricted,3800001520,3800001520,2.24,0,0,221.67314147949202,221.67314147949202,0.0,0,0
unrestricted,3800000127,3800000127,2.24,903,3168,164.8239730334282,163.50224236373901,1.321730669689174,4,4
unrestricted,1600066510,1600066510,2.24,2928,3168,307.74831907653817,305.86578885122935,1.8825302253088125,4,4
unrestricted,3800001611,3800001611,2.24,0,0,224.91093444824176,224.91093444824176,0.0,0,0
unrestricted,3800000110,3800000110,2.24,2928,3168,184.1885080467542,182.13982936617532,2.048678680578888,4,4
