alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported
2.1,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.1,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.1,dynamic,3800000120,3800000120,206.82357845115658,4,1.2,True
2.1,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.1,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
2.1,dynamic,1600066510,1600066510,292.2873710721334,4,1.2,False
2.1,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.1,dynamic,3800000110,3800000110,170.69346029551824,4,1.2,False
2.1,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.1,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.1,myopic,3800000120,3800000120,206.70028024117144,4,1.2,True
2.1,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.1,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
2.1,myopic,1600066510,1600066510,290.9312691777547,4,1.2,False
2.1,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.1,myopic,3800000110,3800000110,168.6581494509379,4,1.2,False
2.11,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.11,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.11,dynamic,3800000120,3800000120,207.6589402552922,4,1.2,True
2.11,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.11,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
2.11,dynamic,1600066510,1600066510,293.38791723308566,4,1.2,False
2.11,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.11,dynamic,3800000110,3800000110,171.65739227774935,4,1.2,False
2.11,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.11,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.11,myopic,3800000120,3800000120,207.53611112912486,4,1.2,True
2.11,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.11,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
2.11,myopic,1600066510,1600066510,292.0342777087847,4,1.2,False
2.11,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.11,myopic,3800000110,3800000110,169.62112658774055,4,1.2,False
2.12,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.12,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.12,dynamic,3800000120,3800000120,208.49430205942787,4,1.2,True
2.12,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.12,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
2.12,dynamic,1600066510,1600066510,294.4884633940379,4,1.2,False
2.12,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.12,dynamic,3800000110,3800000110,172.6213242599805,4,1.2,False
2.12,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.12,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.12,myopic,3800000120,3800000120,208.3719420170783,4,1.2,True
2.12,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.12,myopic,3800000127,3800000127,157.08352398322424,4,1.2,False
2.12,myopic,1600066510,1600066510,293.1372862398148,4,1.2,False
2.12,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.12,myopic,3800000110,3800000110,170.58410372454324,4,1.2,False
2.13,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
2.13,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
2.13,dynamic,3800000120,3800000120,209.32966386356347,4,1.2,True
2.13,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
2.13,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
2.13,dynamic,1600066510,1600066510,295.5890095549901,4,1.2,False
2.13,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
2.13,dynamic,3800000110,3800000110,173.5852562422116,4,1.2,False
2.13,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
